checkId,category,checkName,severity,riskScore,mitre,name,distinguishedName,detailsJson,description
AUTH-001,Authentication,Accounts Without Kerberos Pre-Auth,HIGH,8,T1558.003,sansa.stark,"CN=sansa.stark,OU=Stark,OU=Users,DC=sevenkingdoms,DC=local","{""userAccountControl"": 4194304, ""description"": ""Stark family member""}","Account sansa.stark does not require Kerberos pre-authentication, making it vulnerable to ASREPRoasting attacks"
USR-002,Users_Accounts,Accounts Vulnerable to Kerberoasting,HIGH,8,T1558.004,tyrion.lannister,"CN=tyrion.lannister,OU=Lannister,OU=Users,DC=sevenkingdoms,DC=local","{""servicePrincipalName"": ""HTTP/winterfell.sevenkingdoms.local"", ""userAccountControl"": 512}","Account tyrion.lannister has SPN and is vulnerable to Kerberoasting attacks"
USR-019,Users_Accounts,Domain Admins Members,CRITICAL,10,T1069.002,eddard.stark,"CN=eddard.stark,OU=Domain Admins,DC=sevenkingdoms,DC=local","{""memberOf"": [""CN=Domain Admins,CN=Users,DC=sevenkingdoms,DC=local"", ""CN=Enterprise Admins,CN=Users,DC=sevenkingdoms,DC=local""]}","eddard.stark is a member of Domain Admins and Enterprise Admins groups"
ACC-001,Access_Control,Unconstrained Delegation Configuration,HIGH,8,T1208,winterfell-server,"CN=winterfell-server,OU=Servers,DC=sevenkingdoms,DC=local","{""userAccountControl"": 528384, ""trustedForDelegation"": true}","winterfell-server has unconstrained delegation enabled"
GRP-001,Group_Management,High Privilege Group Members,MEDIUM,6,T1069.002,jon.snow,"CN=jon.snow,OU=Night Watch,OU=Users,DC=sevenkingdoms,DC=local","{""memberOf"": [""CN=Backup Operators,CN=Builtin,DC=sevenkingdoms,DC=local""]}","jon.snow is a member of Backup Operators group"
SVC-001,Service_Accounts,Service Accounts with Weak Passwords,MEDIUM,6,T1078.003,krnlsvc,"CN=krnlsvc,OU=Service Accounts,DC=sevenkingdoms,DC=local","{""servicePrincipalName"": ""MSSQLSvc/sql.sevenkingdoms.local:1433"", ""userAccountControl"": 66048}","Service account krnlsvc for SQL Server may have weak password"
DC-001,Domain_Controllers,DC Sync Privileges,CRITICAL,10,T1003.006,cersei.lannister,"CN=cersei.lannister,OU=Lannister,OU=Users,DC=sevenkingdoms,DC=local","{""extendedRights"": [""1131f6aa-9c07-11d1-f79f-00c04fc2dcd2""]}","cersei.lannister has DCSync rights to replicate domain data"
NET-001,Network_Security,SMB Signing Not Required,MEDIUM,5,T1021.002,kingslanding-server,"CN=kingslanding-server,OU=Servers,DC=sevenkingdoms,DC=local","{""smbSigning"": ""Disabled"", ""operatingSystem"": ""Windows Server 2019""}","kingslanding-server has SMB signing disabled"
AUTH-015,Authentication,Accounts with Never Expiring Passwords,LOW,3,T1098.003,jaime.lannister,"CN=jaime.lannister,OU=Lannister,OU=Users,DC=sevenkingdoms,DC=local","{""userAccountControl"": 66048, ""pwdLastSet"": 0}","jaime.lannister has password set to never expire"
PRV-001,Privileged_Access,Local Admin Rights on Domain Controllers,HIGH,9,T1068.002,robert.baratheon,"CN=robert.baratheon,OU=Baratheon,OU=Users,DC=sevenkingdoms,DC=local","{""localAdminRights"": [""dc.sevenkingdoms.local"", ""dc2.sevenkingdoms.local""]}","robert.baratheon has local administrator rights on domain controllers"
